,pin_average_impedances,cartridge_to_cartridge_pin_variation
0,1725.65923527,297.605419969
1,916.246172742,201.543390981
2,1467.97684217,254.009253706
3,2109.12801078,193.004891084
4,1679.37118263,270.696719095
5,779.920256042,152.123080232
6,727.923072379,138.231115749
7,776.09395207,137.268354232
8,1694.4607217,127.570158146
9,1752.47015424,125.562085953
10,1968.1002145,97.6089285032
11,1818.56301967,117.244371428
12,751.579369027,148.947213287
13,1191.33278416,124.979615185
14,700.301959229,149.807277765
15,738.560066441,146.856982388
16,1285.78336661,112.369252618
17,794.182310268,147.737313237
18,1180.38443691,135.291637659
19,998.589704241,144.77947965
20,586.901137216,142.962644706
21,661.78785117,140.755912994
22,1195.82441886,130.099657591
23,1223.85671605,133.035113385
24,644.501319122,153.357496615
25,1154.21279646,135.906250948
26,561.716788919,149.80844303
27,597.635019357,150.1519739
28,587.321511405,158.711500257
29,600.165662384,152.705374234
30,562.021092878,153.710810325
31,567.577882821,154.764568734
32,752.528536551,152.022935068
33,596.047960663,161.276332566
34,673.969535828,155.782826057
35,568.209983826,165.555484543
36,742.488689968,158.294109067
37,617.75422069,157.175278032
38,694.365684945,146.745379398
39,667.641865104,150.559241545
40,564.826204354,159.163640548
41,579.526969692,164.362334487
42,536.026656233,158.70701024
43,546.179114205,161.808952565
44,624.993468584,154.499512462
45,583.072587694,159.568705485
46,707.992546953,168.015024907
47,543.87145571,162.281984414
48,775.152844238,150.691888804
49,644.403959438,155.201780873
50,557.199411883,159.219689938
51,745.009142848,162.276577441
52,770.978767395,143.268288786
53,793.084870257,149.889674243
54,668.299364362,150.38991233
55,620.522691127,148.371089256
56,642.634173693,163.332601384
57,765.166119167,161.396390003
58,586.896992493,164.378177898
59,583.88334634,166.040970851
60,585.495924159,157.137982344
61,588.046174213,177.156430628
62,576.397819301,162.5296907
63,567.500765991,162.71558765
64,678.927230835,147.376669551
65,610.407593427,153.6918343
66,587.653842054,157.641043737
67,578.384547642,160.752916747
68,649.777319227,150.484295819
69,636.124696023,153.575516694
70,784.66182687,149.685908822
71,668.503915841,156.749777122
72,802.672390311,148.162651554
73,639.53646262,156.76376557
74,767.704251753,149.391909042
75,589.158739253,156.12737866
76,691.20867593,146.027762429
77,879.769709342,136.407174817
78,618.642317527,155.11601991
79,591.464202363,174.646400307
80,725.20473611,137.213026159
81,694.883472116,138.302508697
82,233.264366286,152.798552801
83,238.881142589,155.174211538
84,848.055207389,126.220402421
85,677.952800206,139.681536169
86,628.034069279,145.406564882
87,772.547733198,139.106400109
88,681.177630397,141.46473032
89,839.708531625,132.299688866
90,797.802612305,134.061577172
91,820.296184431,131.494598294
92,1065.20013733,123.115313686
93,826.804020037,138.709156092
94,642.179231262,142.094856748
95,254.090855462,155.473368334
96,1070.74615064,110.357376275
97,861.235214015,128.655829955
98,749.238596453,140.258946524
99,255.705753027,156.874269008
100,1005.07233778,115.619127667
101,815.798037066,132.889676172
102,919.824193682,129.903139086
103,1038.68658992,123.31906064
104,1165.3225175,115.084688205
105,1108.68873858,112.804423792
106,1274.64728088,110.384269331
107,969.415413993,125.753141894
